,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hithadhoo,-0.6,73.08,83.21000000000008,67.0,89.0,1.95,MV,1597621143.0
1,castro,-24.79,-50.01,59.702000000000076,96.0,97.0,2.44,BR,1597621146.0
2,invermere,50.52,-116.04,91.00400000000005,30.0,0.0,1.02,CA,1597621146.0
3,cayambe,0.05,-78.13,60.8,72.0,40.0,5.7,EC,1597621146.0
4,jardim,-21.48,-56.14,70.41200000000006,95.0,100.0,1.67,BR,1597621146.0
5,bulalacao,12.33,121.34,82.34600000000005,74.0,51.0,2.13,PH,1597621146.0
6,yongan,39.7,113.69,66.93800000000005,85.0,100.0,0.9,CN,1597621147.0
7,busselton,-33.65,115.33,48.992,84.0,94.0,7.65,AU,1597621147.0
8,hirara,24.8,125.28,84.2,83.0,75.0,4.6,JP,1597621147.0
9,barinitas,8.76,-70.41,73.5260000000001,87.0,95.0,0.84,VE,1597621147.0
10,avarua,-21.21,-159.78,73.4,69.0,56.0,3.1,CK,1597621147.0
11,decatur,39.84,-88.95,80.6,54.0,1.0,4.6,US,1597621148.0
12,qaanaaq,77.48,-69.36,37.544000000000075,73.0,0.0,0.29,GL,1597621148.0
13,rikitea,-23.12,-134.97,70.592,78.0,2.0,5.78,PF,1597621148.0
14,nikolskoye,59.7,30.79,55.4,76.0,0.0,1.54,RU,1597621148.0
15,saldanha,-33.01,17.94,44.6,81.0,90.0,0.5,ZA,1597621148.0
16,ilulissat,69.22,-51.1,42.8,56.0,0.0,1.0,GL,1597621149.0
17,ribeira grande,38.52,-28.7,74.33600000000007,88.0,28.0,10.25,PT,1597621149.0
18,mar del plata,-38.0,-57.56,51.8,53.0,90.0,6.7,AR,1597621149.0
19,naze,28.37,129.48,86.0,79.0,20.0,2.6,JP,1597621149.0
20,barrow,71.29,-156.79,41.0,86.0,90.0,6.2,US,1597621149.0
21,ushuaia,-54.8,-68.3,33.8,80.0,75.0,11.8,AR,1597620858.0
22,tsentralnyy,,,,,,,,
23,pevek,69.7,170.31,41.0,85.0,39.0,6.92,RU,1597621150.0
24,hobart,-42.88,147.33,51.998000000000026,93.0,40.0,2.6,AU,1597620996.0
25,tuktoyaktuk,69.45,-133.04,51.8,87.0,90.0,3.6,CA,1597621150.0
26,avera,33.19,-82.53,87.8,58.0,1.0,2.1,US,1597621150.0
27,mataura,-46.19,168.86,42.008,98.0,69.0,1.79,NZ,1597621151.0
28,aanekoski,62.69,25.82,46.004000000000055,93.0,0.0,0.5,FI,1597621151.0
29,chuy,-33.7,-53.46,45.248000000000026,71.0,0.0,3.15,UY,1597621151.0
30,muncar,-8.43,114.33,76.47800000000007,85.0,45.0,0.14,ID,1597621151.0
31,taolanaro,,,,,,,,
32,belushya guba,,,,,,,,
33,east london,-33.02,27.91,52.412000000000056,59.0,18.0,4.65,ZA,1597621152.0
34,tautira,-17.73,-149.15,84.2,62.0,20.0,6.7,PF,1597621152.0
35,pozo colorado,-23.49,-58.8,68.684,67.0,88.0,1.28,PY,1597621152.0
36,amderma,,,,,,,,
37,lorengau,-2.02,147.27,83.46200000000006,77.0,58.0,4.62,PG,1597621152.0
38,ondjiva,-17.07,15.73,62.88800000000005,27.0,0.0,2.37,AO,1597621153.0
39,wichian buri,15.66,101.11,74.62400000000001,90.0,100.0,0.62,TH,1597621153.0
40,touros,-5.2,-35.46,75.2,88.0,18.0,3.1,BR,1597621153.0
41,lagoa,39.05,-27.98,74.22800000000007,87.0,66.0,11.79,PT,1597621144.0
42,georgetown,5.41,100.34,78.8,88.0,20.0,1.5,MY,1597621153.0
43,thinadhoo,0.53,72.93,83.174,69.0,71.0,1.51,MV,1597621154.0
44,port alfred,-33.59,26.89,50.233999999999995,68.0,69.0,5.21,ZA,1597621154.0
45,pisco,-13.7,-76.22,64.4,72.0,15.0,5.1,PE,1597621154.0
46,khairabad,27.53,80.75,80.85200000000007,83.0,4.0,2.96,IN,1597621154.0
47,albania,41.0,20.0,73.4,88.0,0.0,1.0,AL,1597621154.0
48,labe,11.32,-12.28,65.3,100.0,100.0,1.59,GN,1597621155.0
49,adeje,28.12,-16.73,73.4,73.0,0.0,6.2,ES,1597621155.0
50,alice springs,-23.7,133.88,75.00200000000008,24.0,15.0,7.2,AU,1597621155.0
51,vestmanna,62.16,-7.17,53.6,93.0,94.0,2.6,FO,1597621155.0
52,osvaldo cruz,-21.8,-50.88,66.2,93.0,75.0,5.38,BR,1597621102.0
53,tommot,58.96,126.29,51.458000000000006,61.0,42.0,1.57,RU,1597621155.0
54,norman wells,65.28,-126.83,57.2,71.0,75.0,4.1,CA,1597621156.0
55,ambon,-3.7,128.18,80.6,78.0,40.0,3.6,ID,1597621156.0
56,cape town,-33.93,18.42,44.99600000000005,93.0,100.0,3.1,ZA,1597621051.0
57,kapaa,22.08,-159.32,84.2,70.0,75.0,6.7,US,1597621141.0
58,dikson,73.51,80.55,44.65400000000005,92.0,96.0,6.42,RU,1597621156.0
59,albany,42.6,-73.97,73.00400000000005,63.0,65.0,1.44,US,1597620928.0
60,livingston,55.9,-3.52,57.2,87.0,90.0,3.1,GB,1597621157.0
61,hilo,19.73,-155.09,86.0,58.0,1.0,5.7,US,1597621155.0
62,butaritari,3.07,172.79,81.68000000000004,65.0,77.0,0.9,KI,1597621157.0
63,verkhoyansk,67.54,133.38,47.84000000000002,52.0,38.0,1.49,RU,1597621157.0
64,mwingi,-0.93,38.06,64.76000000000008,84.0,80.0,3.69,KE,1597621157.0
65,sur,22.57,59.53,89.52800000000006,55.0,91.0,2.11,OM,1597621158.0
66,vaini,-21.2,-175.2,73.4,64.0,75.0,5.1,TO,1597621158.0
67,orillia,44.61,-79.42,69.99800000000002,93.0,100.0,3.5,CA,1597621158.0
68,abnub,27.27,31.15,80.6,42.0,0.0,3.6,EG,1597621158.0
69,singaraja,-8.11,115.09,79.17800000000007,69.0,7.0,1.85,ID,1597620882.0
70,bluff,-46.6,168.33,42.008,98.0,81.0,1.79,NZ,1597621158.0
71,adrar,20.5,-10.07,102.86600000000001,14.0,71.0,2.31,MR,1597621159.0
72,saint george,37.1,-113.58,109.99400000000007,8.0,1.0,3.1,US,1597621159.0
73,vanimo,-2.67,141.3,82.90400000000005,74.0,52.0,2.91,PG,1597621159.0
74,ancud,-41.87,-73.82,44.99600000000005,86.0,68.0,1.0,CL,1597621159.0
75,solovetskiy,,,,,,,,
